id,setting_1,setting_2,Title,sent_1,sent_2,sent_3,sent_4,sent_5,character_1_name,character_2_name,setting_1_replace,setting_2_replace,type
6310034d-38c8-4e03-8133-258126798e20,Tom is a student.,Max is Tom's dog.,Lost but Familiar,Tom was in school when he heard scratching by the window.,"He looked out and to his surprise, he saw a dog.",It was Max and he was holding something in it's mouth.,Tom looked closer and it looked like a bone.,"Confused, Tom wondered how Max found him there.",Tom,Max,__character_1__ is a student.,__character_2__ is __character_1__'s dog.,Human
4c6053a3-7d38-42db-b863-21fbd2e0f9fa,Kent is an elementary school student.,Dorothy is Kent's mother.,Don't be to quick to judge,Kent loves his fifth grade teacher.,His mom Dorothy does not like her so much.,Dorothy doesn't Kent's teacher does a good job.,One day Kent came home telling his mom about everything he had learned.,Dorothy could not believe how smart he was and changed her opinion.,Kent,Dorothy,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s mother.,Human
a52acc77-f1b9-41ab-b452-9cdf3d671f52,Leonardo is an office worker.,Mary is Leonardo's rival.,Do The Right Thing.,Leonardo works in an office behind a desk.,Leonardo doesn't like his rival Mary.,Mary is more efficient than him and gets paid more for the same work.,"Mary walked up to Leonardo and told him she got another raise, rubbing it in his face.","Leonardo was not happy about this and as he was about to say something nasty decided he was better than that, as Mary spun around boasting she ran into the boss who was carrying coffee and spilled coffee all over Mary's white shirt.",Leonardo,Mary,__character_1__ is an office worker.,__character_2__ is __character_1__'s rival.,Human
ce46943d-d3da-4f4b-a580-911b88c354c4,Emily is an office worker.,Mary is Emily's rival.,Best Friends,Mary and Emily are rivals at their office job.,They often sabotage each other's work.,"One day, they are left alone in the office.",They begin to talk and realize they have a lot in common.,They end up becoming best friends.,Emily,Mary,__character_1__ is an office worker.,__character_2__ is __character_1__'s rival.,Human
cefaec7b-e207-4faa-a3b6-5e1ffc26f738,Thomas is a pianist.,Dorothy is Thomas's sister.,The Sneaky Break-In,Thomas is a pianist.,His sister Dorothy has always envied him because of his popularity.,"One day when Thomas is away, she stages a break-in and destroys his piano.",Thomas is heartbroken when he gets home.,Thomas is even more hurt when he looks at security footage and discovers that it was actually Dorothy who destroyed his piano.,Thomas,Dorothy,__character_1__ is a pianist.,__character_2__ is __character_1__'s sister.,Human
074bb6d0-8fc5-4995-946d-b73253bdf082,Kent is an elementary school student.,David is a close friend of Kent.,The Sinful Boy,David and Kent are best friends.,They both attend Capers Elementary School in New Jersey.,"One day, they were experimenting kissing with each other.",David's mom catches them and beats both of them for sinning.,David calls the police and she is arrested.,Kent,David,__character_1__ is an elementary school student.,__character_2__ is a close friend of __character_1__.,Human
c68ecfd3-ce53-4d0b-8e66-3efba1534202,Trisha is an office worker.,Max is a respected person of Trisha.,Reneg,Trisha wanted to get closer to Max to try to move up in the company.,She flirted with Robert every chance she got.,Robert quickly obliged and they started dating.,"Soon, Trisha realized that Robert was rude and unhygienic, turning her off!","She broke up with him pronto, and decided to be content at her current position.",Trisha,Max,__character_1__ is an office worker.,__character_2__ is a respected person of __character_1__.,Human
f33a78a7-ab64-44dd-a0e7-aa354c5f9344,Thomas is a pianist.,Dorothy is Thomas's rival.,The battle of the two violinists,Thomas was excited about his audition for the community band.,"When he arrived at the community center, he was surprised to see Dorothy waiting to audition.","Dorothy had long been a thorn in his side, always tormenting him because she had private violin lessons where he did not.",They both played two pieces each in front of the committee.,Thomas smiled when the committee chose him over Dorothy.,Thomas,Dorothy,__character_1__ is a pianist.,__character_2__ is __character_1__'s rival.,Human
261637f8-c10e-42c6-adb5-ac017809de0d,John is a high school student.,Linda is a person who John does not like.,Sisters Always Stick Together,John was a local high school football player.,"He liked the head Cheerleader, Sallie-Mae.","Unfortunately Linda, Sallie-May's sister didn't like John because he shunned her when she had a crush on him the year before.",So Linda made Sallie-Mae break up with him.,"John did not like Linda--in fact, he hated her.",John,Linda,__character_1__ is a high school student.,__character_2__ is a person who __character_1__ does not like.,Human
bcb176d5-d29b-4673-bf21-9bf14ffc0e42,Kevin is an office worker.,Linda is a close friend of Kevin.,Fish Versus Vegetables,Kevin works in the office of a fish cannery.,"Linda, a close friend of his works in a nearby vegetable cannery.","Kevin makes more than Linda, and she is secretly upset about this.",She thinks it is because he is a man.,In reality it is because Kevin's job is more difficult thereby pays more.,Kevin,Linda,__character_1__ is an office worker.,__character_2__ is a close friend of __character_1__.,Human
a1c82ffd-2f42-405e-8d38-40e8ccccefa1,Kent is an elementary school student.,Dorothy is Kent's mother.,Missed Bus,Dorothy woke up Kent for school on time.,Kent took his sweet time getting out of bed.,Due to his slowness Kent missed the bus.,That meant Dorothy had to drive him to school.,While that made Dorothy crabby it was ultimately her job and she did it.,Kent,Dorothy,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s mother.,Human
b1c901dc-4e3b-4f3e-90bc-6f8f623d2b67,Alice is an elementary school student.,Max is a dog owned by a friend of Alice.,Good Boy,Alice is 7 years old.,She has been asking her parents to get a dog all year.,Her friend Josh has a dog named Max.,Alice told her parents all about how good Max is to convince them a dog is a good idea.,They finally told Alice that she could get a puppy afterhearinv about Max.,Alice,Max,__character_1__ is an elementary school student.,__character_2__ is a dog owned by a friend of __character_1__.,Human
275c7543-204f-4ffd-b93f-ac218077271d,Mary is a high school student.,Linda is a friend of Mary.,Two girls: One popular; one loyal.,Mary was a very popular high school junior.,"One of her friends was Linda, who hardly had any friends.",Linda was not at all jealous of Mary's popularity; she was the type who just didn't want to have many friends.,"One day both girls ran against each other for class president   and Mary, with so many friends voting for her, easily won.",Linda  proved what a good friend she was by congratulating Mary and holding a celebratory party for the new president.,Mary,Linda,__character_1__ is a high school student.,__character_2__ is a friend of __character_1__.,Human
65ae119d-79f7-4be3-a15d-8a68f01d6bc8,Richard is an athlete.,Dorothy is a staff of Richard's team.,The Fallen Star,"Richard is a famous baseball player dating the team's treasurer, Dorothy.","At the end of the season, a contract dispute flares up.",Dorothy assures him he can win the dispute.,"Richard does not win, and has to accept less than what he wanted.",Things quickly fall apart in the relationship.,Richard,Dorothy,__character_1__ is an athlete.,__character_2__ is a staff of __character_1__'s team.,Human
fd963cbc-2b4f-4d3d-bc40-33b9c9967d91,Margaret is an athelete.,David is a person who Margaret does not like.,Teaching the Bully,Margaret was playing dodgeball.,David was on the other team.,Margaret never liked David.,He had always bullied her in class.,Margaret threw the ball and hit David square in the face.,Margaret,David,__character_1__ is an athelete.,__character_2__ is a person who __character_1__ does not like.,Human
6b6faa9a-3d93-4162-8251-2c266b32140e,Thomas is a pianist.,Linda is a person who Thomas does not like.,"My, how the tables have turned!",Thomas plays the piano and played during high school.,Linda is a popular girl who teased him and considered him a nerd.,Thomas is now successful and often performs in New York city.,He goes to buy fast food one day and sees an older heavier Linda behind the counter.,As her orders his food he cant help but smile when think of how the tables turned.,Thomas,Linda,__character_1__ is a pianist.,__character_2__ is a person who __character_1__ does not like.,Human
63edd78c-9348-44cf-b444-cf3f3dfbdd6f,Barbara is a teacher.,David is a student of Barbara.,Encouraging Talent,Barbara teaches high school art.,"One of her students, David, was an exceptional talent.",She enjoyed having him in her class and always looked forward to seeing his work.,She encouraged him to apply to art school and follow his dreams.,"She was delighted when he was accepted into the Pratt Institute, one of the finest art schools in the US.",Barbara,David,__character_1__ is a teacher.,__character_2__ is a student of __character_1__.,Human
9f02b263-3f9f-4d21-9f26-0de7c1a37fa8,Alice is an elementary school student.,Robert is Alice's rival.,A Splash of Revenge,Robert was a bully who teased Alice.,Alice got fed up.,"After lunch, she splashed water on Robert's lap.",She laughed and told everyone Robert had an accident.,Robert was humiliated and never bothered Alice again.,Alice,Robert,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s rival.,Human
eb4ded03-5e13-4ac5-9c51-3f9102877057,Jessica is a violinist.,Linda is a friend of Jessica.,The Competition,Jessica has been a violinist for many years.,Her friend Linda was thinking about joining a competition.,Linda wasn't as good as Jessica so she asked her to train her.,Jessica agreed and trained her twice a week.,"In the end, Linda won the competition.",Jessica,Linda,__character_1__ is a violinist.,__character_2__ is a friend of __character_1__.,Human
e764a4d8-33d6-4c04-809b-e7bc76f2bc2f,Charles is a teacher.,Robert is Charles's brother.,Passionate brother,Charles became a teacher in a local school to help his family financially.,Robert was a Charles's younger brother who want to become musician.,Charles saw Robert's passion for music.,He got his brother enrolled in music academy and started doing part time.,Robert saw the sacrifice his brother had made and promised to become successful.,Charles,Robert,__character_1__ is a teacher.,__character_2__ is __character_1__'s brother.,Human
b9f49822-f66f-4a5e-8d07-167b992f6a25,Trisha is an office worker.,Linda is a person who Trisha does not like.,action and consequences,Trisha works in a office and was assigned a new client to with.,Trisha came to know that new client is Linda who she did not like.,Trisha started delaying meeting and did not give her best.,"Seeing Trisha poor work, Linda pulled the project.",Trisha was fired from her job.,Trisha,Linda,__character_1__ is an office worker.,__character_2__ is a person who __character_1__ does not like.,Human
35aba524-d6d9-4895-9e74-568569711bed,Kevin is an office worker.,Linda is a person who Kevin does not like.,Kevin and Linda,Kevin had been an employee at Granite Mill Industries for two years.,He worked very hard at his job and finished all his projects on time.,"One day there was a staff meeting at Granite Mill and Linda, another employee at Granite Mill, was among the employees who attended.",Kevin knew Linda from another job and disliked her.,"He didn't know that she was now working at Granite Mill, so when he saw her in the meeting room, he quietly left and went back to his office.",Kevin,Linda,__character_1__ is an office worker.,__character_2__ is a person who __character_1__ does not like.,Human
e046f6eb-ac93-40b5-b368-283d024e5fe5,Kevin is an office worker.,Max is a dog owned by a friend of Kevin.,Man's Worst Friend,Kevin immediately regretted his agreement to pet sit Max.,"As Mark handed him the leash just outside of the office, Max pulled and began to run, yanking Kevin to the ground.",The puddle that he landed in was a couple inches deep and completely soaked Kevin's new suit.,"Climbing to his feet, still firmly gripping the leash, Kevin began to briskly walk toward his apartment for a change of clothes.",Max apologetically followed.,Kevin,Max,__character_1__ is an office worker.,__character_2__ is a dog owned by a friend of __character_1__.,Human
4f9f8a8d-95b8-491b-98ea-f239fdb79713,Leonardo is an office worker.,Richard is a close friend of Leonardo.,Don't Let Fear Hold You Back,Leonardo works in a boring office job.,Leonardo and Richard are great friends.,Leonardo is secretly gay but has been wanting to come out for many years now but is worried Richard will not accept me anymore.,Leonardo and Richard were watching a football game together and their team scored and they both through their arms in the air and out of excitement Richard hugged Leonardo.,"Leonardo unconciously kissed Richard, Richard's eyes went wide and then decided he liked it and kissed Leonard back.",Leonardo,Richard,__character_1__ is an office worker.,__character_2__ is a close friend of __character_1__.,Human
9ba40357-f366-4b52-a8f3-fe88df94346a,Kent is an elementary school student.,Max is a dog owned by a friend of Kent.,An Annoying Favor,Kent's friend was going on vacation with his family.,"He asked Kent to look after his dog, Max.",Kent's parents agreed.,"As soon as the friend left from dropping him off, Max began to bark.","Max barked for five days straight, breaking only to eat and sleep.",Kent,Max,__character_1__ is an elementary school student.,__character_2__ is a dog owned by a friend of __character_1__.,Human
61067468-916d-41d8-af35-7cf380a4904d,Jessica is a violinist.,Robert is Jessica's brother.,Dueling Artists,Jessica is practicing for a violin recital.,"Her brother, Robert, is a guitarist with a local metal band.","They have a gig coming up, and he practices a lot.",They argue about who is better and who should practice when.,They devise a schedule and stick to it.,Jessica,Robert,__character_1__ is a violinist.,__character_2__ is __character_1__'s brother.,Human
81d953ea-cd20-411b-b800-30f76fe92ff3,Leonardo is an office worker.,Richard is a person who Leonardo does not like.,Can't Take A Joke,Leonardo got along with everyone in his office except Richard.,No one really liked Richard.,"One day, Leonardo stole Richard's stapler.",Richard got mad and started shouting profanities.,"A potential client overheard him and was offended, and soon Richard was fired.",Leonardo,Richard,__character_1__ is an office worker.,__character_2__ is a person who __character_1__ does not like.,Human
0612bba2-6dd1-4ffa-955c-655312169ec7,Jessica is a violinist.,Dorothy is Jessica's rival.,The Devil and the Violin,Jessica and Dorothy were two violinist in the local symphony.,Both were competing for the violinist head chair.,The conductor had them play against each other in a contest for the chair.,Jessica played Bartok - Violin Concerto No.2 for her piece.,"Dorothy surprised everyone and played the Devil Went Down to Georgia, which is really a fiddle piece, and won because of her technical precision.",Jessica,Dorothy,__character_1__ is a violinist.,__character_2__ is __character_1__'s rival.,Human
13358e9a-1ea1-4cb7-831e-2904108d185a,Mary is a high school student.,David is a friend of Mary.,tough love,Mary and David were high school sweethearts.,"When a new girl Jessica transferred to their high school, they hit a rough patch.",Differences started propping up in the two of them.,Mary got jealous of David and Jessica's friendship.,Eventually they worked everything out and got back together,Mary,David,__character_1__ is a high school student.,__character_2__ is a friend of __character_1__.,Human
06415264-2185-487b-b698-4d19bb97af45,Emily is an office worker.,John is Emily's rival.,What A Jerk,Emily was given the tedious task of stapling together forms.,"She ran out of staples, and saw the stock was low and wouldn't last.",She asked where all the staples went.,Many co-workers told her John had been hoarding them.,"She confronted John, but he laughed at her and dared her to prove he was hoarding.",Emily,John,__character_1__ is an office worker.,__character_2__ is __character_1__'s rival.,Human
fe6d66fa-5d21-4d3e-b425-c6cf0a694cf6,Alice is an elementary school student.,Dorothy is Alice's mother.,Math is Hard,Alice was having trouble with math class.,"She asked her mother, Dorothy, for help with her homework.","Dorothy looked it over, but couldn't make heads or tails of it.",Dorothy spoke to Alice's teacher.,"The teacher realized she was pushing all the kids too hard, and she made adjustments.",Alice,Dorothy,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s mother.,Human
ac1d71be-7549-4022-ab2c-c97a39ed7079,Jessica is a violinist.,David is a person who Jessica does not like.,the unexpected surprise,jessica plays violin in a hotel on weekends.,David goes to to the same hotel on every week to see jessica but she doesnt like him.,On one evening late night after finished her performance jessica return back home through the back side of the hotel.,David followed her and cornered her near a dark place.,"Jessica was very frightened but David with his friends he made a mob setup and proposed her, she doesnt know what to do and then she asked him to give her some time.",Jessica,David,__character_1__ is a violinist.,__character_2__ is a person who __character_1__ does not like.,Human
9dab57bc-7031-4aa7-8581-6d33d24813d7,Charles is a teacher.,Linda is a person who Charles does not like.,Time heals relations,Charles was fond of teaching and eventually became teacher.,"Linda was Charles schoolmate, whom he did not like personally.",Linda too became teacher in the school where Charles teaches.,"Seeing linda's kindness and selfless nature, Charles realized how wrong he was.",Charles and Linda became good friend eventually.,Charles,Linda,__character_1__ is a teacher.,__character_2__ is a person who __character_1__ does not like.,Human
bf830ed2-d771-4490-b470-586001c66bf5,Kevin is an office worker.,Robert is Kevin's rival.,kevin's revenge,kevin was late to the office again.,he didn't even have time for that first cup of coffee.,but the opportunity was too good to pass up.,he filled it to the brim and didn't stop for sugar and milk.,he wouldn't need them when he crashed into robert and spilled it all over his shirt and tie.,Kevin,Robert,__character_1__ is an office worker.,__character_2__ is __character_1__'s rival.,Human
2f0a45ff-9bcf-4732-98c8-9d924cf928a0,Alice is an elementary school student.,Linda is a close friend of Alice.,The Rejection,Alice and Linda are best friends who go to Copper Elementary School.,Alice and Linda are at the age where they think boys are cute.,They discover that they have a crush on the same boy.,This ruins their relationship and they start to spread mean rumors about each other.,The boy ends up rejecting both of them for the popular girl in school.,Alice,Linda,__character_1__ is an elementary school student.,__character_2__ is a close friend of __character_1__.,Human
fbcc1f1b-5947-46d7-ac46-fc3df404e553,Margaret is an athelete.,Robert is a staff of Margaret's team.,Inappropriate Behavior,Margaret plays striker on her college NCAA soccer team.,"The assistant coach, Robert, always seemed to be staring at Margaret, which made her uncomfortable.","One day as she was leaving the locker room, he stopped her and asked her out on a date.",That was against the rules and she reported him to the coach.,He was fired immediately.,Margaret,Robert,__character_1__ is an athelete.,__character_2__ is a staff of __character_1__'s team.,Human
4b0434f9-93e2-477a-a32e-34e0274060f0,Alice is an elementary school student.,David is a close friend of Alice.,The New Best Friend,Alice and David are close friends.,They both go to Robinson Elementary School and enjoy dancing together.,Alice kisses David's cheek which makes him mad.,They stop being friend's because he felt uncomfortable.,Alice meets a new best friend and acts like David never existed.,Alice,David,__character_1__ is an elementary school student.,__character_2__ is a close friend of __character_1__.,Human
4c49fc5e-2653-44cd-9aeb-558429e28e68,Margaret is an athelete.,Linda is a close friend of Margaret.,Water Girl,"Margaret played high school soccer, so in the spring she didn't have a lot of free time.","Her best friend, Linda, really missed Margaret during soccer season.",Linda wasn't a good athlete so there was no way she'd make the team.,"So instead, Linda became the team's water girl.",That way she still got to spend time with her best friend.,Margaret,Linda,__character_1__ is an athelete.,__character_2__ is a close friend of __character_1__.,Human
072c1b4b-1ecb-42eb-816c-198dfcb45819,Trisha is an office worker.,Robert is Trisha's rival.,The better candidate for the job.,Trisha has been working in the office for only 6 months.,Robert has been working in the same office for over 4 years.,Robert and Trisha have been picked as the candidates to receive a promotion.,Robert does not understand why he has to complete with such a new employee for the job.,"Trisha was more qualified, chosen for the job and is now Robert's boss.",Trisha,Robert,__character_1__ is an office worker.,__character_2__ is __character_1__'s rival.,Human
2aaffbde-1916-49b7-b37d-627c79c339b4,Alice is an elementary school student.,Max is a dog owned by a friend of Alice.,"Dog Ate It, Friend Saved It","Alice just finished her homework when her friend came over with his dog, Max.",Max was in a hyper mood.,Max took a bite out of Alice's homework.,Her friend felt terrible.,He spend the evening re-doing Alice's homework for her.,Alice,Max,__character_1__ is an elementary school student.,__character_2__ is a dog owned by a friend of __character_1__.,Human
373c0f8e-0967-49d8-8d94-ae009c8174d4,Jessica is a violinist.,Robert is Jessica's brother.,The musical legacy,Jessica was very interested in music.,She had from a very young age decided to become a violinist.,Her influence rubbed off on her brother Robert.,He also became a musician.,The duo became very popular and often gave concerts together.,Jessica,Robert,__character_1__ is a violinist.,__character_2__ is __character_1__'s brother.,Human
e6ad0cf2-991c-4e6f-b14d-aea8af52ae89,Thomas is a pianist.,Dorothy is Thomas's rival.,Ego Failure,Thomas had a piano recital coming up.,"He saw that Dorothy, his rival, was also on the bill.",He decided to choose an insanely difficult piece.,He wanted to blow her off the stage.,"The piece was so difficult, he messed up and was humiliated.",Thomas,Dorothy,__character_1__ is a pianist.,__character_2__ is __character_1__'s rival.,Human
95919a86-d663-48a1-a3af-fe680e85645b,Thomas is a pianist.,Linda is a close friend of Thomas.,Friends Never Die,Thomas was about to play piano at a local concert hall.,He was to play a piece written by his close friend Linda.,She had died earlier that year of cancer.,As he started to play he hesitated and couldn't bring his hands to play.,He looked to the audience and couldn't believe his eyes: it was Linda smiling at him and urging him to go on and he did beautifully bringing the audience to their feet.,Thomas,Linda,__character_1__ is a pianist.,__character_2__ is a close friend of __character_1__.,Human
9c72bcbb-ce65-4ae7-b1dc-73da75c98fd7,Trisha is an office worker.,Max is a dog owned by a friend of Trisha.,Max Loves the Office,Trisha works in an office close to her home.,Trisha's friend lives next door.,Her friend has a dog named Max.,Max will often see Trisha walking to work.,"He runs after her and follows her to her office, so she has to call her friend to come get him.",Trisha,Max,__character_1__ is an office worker.,__character_2__ is a dog owned by a friend of __character_1__.,Human
d469df20-5de5-4fab-96eb-b51aedcb5467,Trisha is an office worker.,Linda is a close friend of Trisha.,True friends,Trisha works in a office.,Linda and Trisha were close friend.,Trisha was assigned a project she was finding hard to complete.,Linda helped her in completing the project.,Trisha got awarded for her project and gave credit to Linda.,Trisha,Linda,__character_1__ is an office worker.,__character_2__ is a close friend of __character_1__.,Human
e8366087-0e2c-4a7d-b351-cbf33268952d,Charles is a teacher.,Dorothy is Charles's sister.,Finding True Love,Charles teaches biology at the local high school.,"His sister, Dorothy, came to pick him up one day when his car was in the shop.","He introduced her to his coworker Ed, and sparks flew between the two of them immediately.","The next day, Ed asked him if his sister was single.",Charles shared with him that she was and Ed called her right away to ask her to go out on a date.,Charles,Dorothy,__character_1__ is a teacher.,__character_2__ is __character_1__'s sister.,Human
b30ea0e1-3dc0-4b80-ac6b-52d700b2acd9,Kent is an elementary school student.,Dorothy is a teacher of Kent.,Trouble,Kent was so excited to start fifth grade.,The first day of school Kent found out what class he was in.,Kent has Mrs. Dorothy as a teacher.,Mrs. Dorothy and Kent are close and know one another outside of school.,Kent is sure Mrs. Dorothy will let him get away with anything in class.,Kent,Dorothy,__character_1__ is an elementary school student.,__character_2__ is a teacher of __character_1__.,Human
3324f77e-1b80-4379-9a32-709d05e61022,Jessica is a violinist.,Dorothy is Jessica's rival.,Jealousy is threatening,Jessica was enrolled at the music school.,She was a violinist.,Dorothy was a fellow colleague at the music school.,She was jealous of Jessica's talent.,She sabotaged jessica by damaging her violin which really upset her.,Jessica,Dorothy,__character_1__ is a violinist.,__character_2__ is __character_1__'s rival.,Human
fa25fc67-3be3-404c-a9fa-ad414b8c92a7,John is a high school student.,Max is a respected person of John.,Dealing with Stress,Being in high school can be very stressful.,John was taking four AP classes this semester and the stress was building.,"He looked to his classmate Max, who was at the top of the class.",He asked him how he dealt with the stress of such a difficult course load.,Max shared that he practiced meditation and gave John some resources to try it himself.,John,Max,__character_1__ is a high school student.,__character_2__ is a respected person of __character_1__.,Human
45c5b0db-218e-4561-aaaa-203f76d69f45,Thomas is a pianist.,Max is a respected person of Thomas.,Recognition of talent,Thomas was what you can call a child prodigy.,He showed musical talent since childhood.,"Max , a family friend recognised his potential and suggested to get him a piano teacher.",Thomas went on to become an acclaimed pianist.,He always respected Max for guiding him in childhood.,Thomas,Max,__character_1__ is a pianist.,__character_2__ is a respected person of __character_1__.,Human
846842d7-184a-4c90-895e-ad7e80abd6e1,Trisha is an office worker.,Max is Trisha's dog.,All She Wanted Was a Hot Bath,Trisha came home from a long day at work.,All she wanted to do was take a hot bath after her day at the office.,She walked into her house and filled up the tub.,All of a sudden something jumped on her!,It was her dog Max waiting to be walked.,Trisha,Max,__character_1__ is an office worker.,__character_2__ is __character_1__'s dog.,Human
1c982dc6-2a10-4bb2-929d-cf24d6f21867,Margaret is an athelete.,David is a close friend of Margaret.,Margaret's Track Meet,Margaret had been practicing for weeks.,It was time for the big track meet.,She scanned the crowd for her friend David.,She felt confident knowing that David was there cheering her on.,Margaret got on the blocks ready to run.,Margaret,David,__character_1__ is an athelete.,__character_2__ is a close friend of __character_1__.,Human
e97450ef-17e2-4e52-a66b-70bff4426c0b,Kent is an elementary school student.,Robert is Kent's rival.,The Underdog.,Kent and Robert go to the same school and are rivals.,Robert is always winning at everything they compete against and is the best student in the class.,Robert and Kent both want to win this years science fair.,Robert creates a volcano that erupts for the science fair and wows the judges.,"Kent made a small vehicle remote controlled robot that can pick things up and clean the house a bit, the judges declare Kent's creation as the best and gets first prize.",Kent,Robert,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s rival.,Human
