id,setting_1,setting_2,Title,sent_1,sent_2,sent_3,sent_4,sent_5
25433115-d0b9-4be0-84c0-fa4e5b25cd01,John is a high school student.,Dorothy is John's mother.,Finding Success In Failure,Dorthy was displeased with her son John's effort in pre-calculus.,He as getting a C and usually does much better in math.,She offered him a bribe to get his grade up to an A by semester's end.,He worked really hard all semester to try to pull his grade up.,He ended with a B+ which made Linda happy even though he didn't quite get the A.
66f1752a-5499-4dd9-8306-725647694c0c,Mary is a high school student.,Robert is Mary's father.,Runaway Mary,Mary goes to St. Josephs High School.,Her father Robert is an investment banker.,Robert has been laid off and cannot afford Mary's private education anymore.,She is sent to public school where she starts hanging with the wrong crowd.,Mary runs away with a bad boy and is never seen again.
6b7c302c-cc52-467c-9160-2b3b5792545b,Mary is a high school student.,Robert is Mary's father.,Stepping In To Protect A Loved One,"Mary, a high school student, has been acting out at home and school.",She lives with her dad Richard.,Mary became withdrawn then started having outbursts about three months after meeting her new boyfriend.,"Her father suspects some sort of abusive behavior from her boyfriend, but Mary denies it then cries.",Richard has decided to confront Mary's boyfriend privately.
fdaabb7b-0f05-4e74-ae16-2767acaabe90,Mary is a high school student.,Robert is Mary's father.,my dad is great,Mary was one of the brightest student in her school.,For the past few months mary was not attentive in the class and her class teacher complained it to her father.,"Robert, Mary's father was very angry at her attitude in the class.",He apologize to the class teacher and took mary to their home.,Then he gave her some advice about her future and made her to concentrate on her studies.
01542b69-5b41-431f-9482-8b755c7ebc9a,Mary is a high school student.,Robert is Mary's father.,The Clean House,Mary really wanted to drive to school on Wednesday.,"She asked her dad Robert and he said ""Not a chance."".",On Tuesday night she decided to clean the entire house really well.,Her dad was so impressed that he said she could drive his car on Wednesday.,Her ruse was a resounding success.
039ddfcf-94a0-4179-ae71-943606be5c83,Barbara is a teacher.,Robert is Barbara's brother.,A Long Awaited Ride,Barbara's brother Robert was parked in the driveway waiting to take her to work.,She got into the car and he drove her to the school where she worked as a teacher for 5 years.,As she got out she told him to make sure he was there after school to pick her up so he could take her to pick up her new car.,The days had been hard without owning a car.,After today she would be driving her own self to work as she will be the owner of her very own car.
22c27c68-4363-4fc1-a3fc-562ccbca4f26,Barbara is a teacher.,Robert is Barbara's brother.,After School Credit,Barbara knew that her brother Robert was going to come to visit.,"But due to Barbara's busy schedule, she hadn't had time to clean the house.","With the school day over, Barbara asked which of her students wanted extra credit.",They all went back to her house and cleaned the place just in time as Robert arrived.,Robert was surprised at the sparkling clean house.
649fcc96-6de3-4882-bd81-7d77ffa2facf,Barbara is a teacher.,Robert is Barbara's brother.,Sacrification one for the other,Robert and Barbara are brothers who born to the same biological parents.,Barbara is working as a teacher who is the only earning person in their family as their parents are old and his brother Robert is a handicapped.,since he is the prime earning member he is not got married yet as no one is really ready to carry the burden of the family along with him.,At last Barbara decided to marry a widow who lost her husband in an accident but is a working women.,They both agreed to sacrifice each other for their well being of each members
9b0db5e7-19df-451a-9a40-bc75fa2af344,Barbara is a teacher.,Robert is Barbara's brother.,The sibling connect,Barbara had just gotten home from work.,She worked at a school for differently abled children.,Her job was demanding and often took a toll on her.,She confided in her brother Robert who was very supportive.,She considered herself lucky to have such a caring brother.
ac456a06-4174-4847-803e-e6bf67c46f35,Barbara is a teacher.,Robert is Barbara's colleague.,Showing a Colleague the Ropes,Barbara teaches English Lit at a private high school.,Her colleague Robert just joined the staff to teach History.,Barbara decided to take Robert under her wing and help him get settled in his new job.,Robert was very appreciative of Barbara's help.,"Within just a few weeks, he felt settled in and comfortable at the school."
6339a48b-3ee9-43e8-9aca-eb35e2e2ecd5,Barbara is a teacher.,Robert is Barbara's colleague.,Elementary school teachers,Barabara worked in an elementary school.,She was loved by all her students.,She had a friendly relationship with all her colleagues.,Robert was also a teacher at the same school.,He was the football coach and all students respected him.
a94f9bcc-894e-4ba3-bbcf-06a665812703,Barbara is a teacher.,Robert is Barbara's colleague.,Old Dog...New Shoes,Barbara is a teacher.,Her friend Robert teaches at the same school.,Roberts dog Max chewed up a pair of Barbara's favorite shoes.,She was watching him for the weekend.,Robert bought Barbara TWO pairs of new shoes!
daa295e4-0c1a-4a1c-abe7-f8e594491797,Barbara is a teacher.,Robert is Barbara's rival.,Barbara loses to Robert,Barbara is a history teacher at a local high school.,Robert also teaches history at the same school.,They are both good teachers and both have worked at the school for 10 years.,The current department head is retiring and Barbara and Robert are competing for the upcoming job opening.,"Barbara fell and broke her back, so it looks like Robert will surely be appointed the next director."
11b50e0d-fb53-495b-b15f-fcc0c2623cba,Barbara is a teacher.,Robert is Barbara's rival.,Politics in teaching industry,Barabara loved to teach kids.,She had joined a nearby school as a teacher.,The staff over there weren't really cooperative though.,"Robert, a colleague was particularly harsh on her.",He considered her his rival and acted spiteful
d52c145b-024f-4891-aee5-e12d9d01096e,Barbara is a teacher.,Robert is Barbara's rival.,Science Competition,Barbara was a science teacher at a local high school.,The teachers at the school were awarded bonuses based on their students' performance on standardized tests.,Robert was the other science teacher at the school.,He always won the largest bonus each year.,This year Barbara intended to beat him.
ea371ddf-b704-45fa-b98a-0cd4dd45ee5c,Barbara is a teacher.,Robert is Barbara's rival.,Animal Control,Barbara knew that she had to figure out a way to stop letting Robert's dog come into her yard and bug her own dog.,"One day, Robert's dog came into Barbara's yard.","But this time, Barbara had called animal control.","Robert fearing that he would lose his dog, promised to keep the dog leashed.",Barbara later thanked her friends for pretending they were animal control.
edf4b941-0ea7-4581-86d2-b9ee21a520da,Barbara is a teacher.,David is a close friend of Barbara.,Unlike Any Other Day,Barbara and David went to the beach one day.,They were good friends and loved to do things together.,Today was a day like any other day until David told Barbara that he wanted to marry her.,Barbara was a little shocked at her friend's proposal.,It wasn't until he presented her with a ring that was inside a perfectly placed shell on the beach that she knew he was serious.
ab69932b-e248-4f8b-bddc-cd8909ed243f,Barbara is a teacher.,David is a close friend of Barbara.,The Secret Lover,Barbara is a teacher at Wintersfield Middle School.,Her and David have been close friends for years now.,David has recently divorced his wife and realized that he is in love with Barbara.,"Unfortunately, Barbara has been keeping the secret that she is in a relationship with a woman.",David is heartbroken and ends the friendship.
77f3ebe2-f521-4847-b430-dac95d04ea1b,Barbara is a teacher.,David is a close friend of Barbara.,Close friends,Barbara works as a teacher in the local school.,She considers herself lucky to be surrounded by a circle of close friends.,David is one such friend to her.,He is extremely supportive and understanding.,"Whenever she is in any sort of trouble, she knows she can rely on him."
16534f9f-fa38-4aa6-80c0-790853c92f5a,Barbara is a teacher.,David is a close friend of Barbara.,A Friend in Need,Barbara had a long week teaching her kindergarten class.,She was feeling tired and overwhelmed.,Her good friend David asked her to come out for drinks that night.,They had a great time talking and drinking the night away.,David always knew how to make Barbara feel better.
63edd78c-9348-44cf-b444-cf3f3dfbdd6f,Barbara is a teacher.,David is a student of Barbara.,Encouraging Talent,Barbara teaches high school art.,"One of her students, David, was an exceptional talent.",She enjoyed having him in her class and always looked forward to seeing his work.,She encouraged him to apply to art school and follow his dreams.,"She was delighted when he was accepted into the Pratt Institute, one of the finest art schools in the US."
47182a95-d9b2-48b6-a37f-bc775601bf81,Barbara is a teacher.,David is a student of Barbara.,Recognising talent,Barabara loved teaching kids.,She worked as a teacher in the elementary school.,"David, one of her students was extremely bright.",She recognised his talent and worked extra hard on him.,He went on to excel in life but was forever indebted to his teacher for guiding him.
f7615a3b-552f-49f6-8a56-ed5c5e3fb83b,Barbara is a teacher.,David is a student of Barbara.,Forbidden Love,Barbara was a college professor.,She taught a class about morality and ethics.,David was a handsome and charming student in her class.,Barbara and David started to have a steamy affair.,"Barbara put her job, morals and marriage on the line to be with David."
d183dc2c-8f56-47e8-a6a2-5b000dd4ce5f,Barbara is a teacher.,David is a person that Barbara does not like.,Woman's Best Friend,Barbara was cooking dinner when she heard her dog barking.,"Wen't she went to look out the door, she saw that David was walking in front of her yard.",He had been known to be the neighborhood troublemaker.,David asked her why her dog always barked at him.,Barbara told him that it was because she was a good teacher and taught her dog to bark at bad people.
ea46f580-dae3-4d82-a03a-6c2e2d23f17d,Barbara is a teacher.,David is a person that Barbara does not like.,Stand up,Barbara couldn't stand David and tried to stay away from him.,He noticed her relunctance and followed her around.,She decided to take further measures and stand up to him.,She screamed at him at the top of her lungs and threatened to go the principal.,"He was so shaken up, he never followed her again."
47367f23-29af-4b2c-a5d6-e926a71693f5,Barbara is a teacher.,David is a person that Barbara does not like.,Preconceived notions,Barbara worked as a teacher in the local school.,She was usually friendly with everyone she met.,"The only exception was David, a colleague she did not particularly like.",When they both were scheduled to work on a project together she felt resentful.,On getting to know him she realised how wrong she had been about him.
4ba2449d-3584-40db-a2fe-8e9397dd9222,Barbara is a teacher.,David is a person that Barbara does not like.,Enough is Enough,Barbara loved her job as an elementary school teacher.,"It would have been a perfect job it is wasn't for David, the principal.","Today, he told her to start the day with cleaning the whole classroom, despite the janitor already being done with it.",Barbara decided that enough was enough.,She refused and wrote a resignation letter.
12c49794-71be-4523-add2-ca814538e8b7,Barbara is a teacher.,Dorothy is Barbara's sister.,Sister bonding,Dorothy and Barbara were sisters.,She shared excellent rapport with each other.,They shared a great bond growing up.,Barbara decided to take up teaching for a profession and Dorothy went on to study medicine.,"Even though they went off to study in their respective colleges, their bond stayed intact."
89fbfdc8-b29c-41b7-9486-16592c59608c,Barbara is a teacher.,Dorothy is Barbara's sister.,Baby Time,Barbara was teaching a class when her water broke.,She tried to hide the pain from her students.,She notified the principal that she needed to go to the hospital.,Once her replacement arrived she called her sister Dorothy.,Dorothy took Barbara to the hospital to give birth.
3c1a8575-01f8-4720-9297-685c555d561c,Barbara is a teacher.,Dorothy is Barbara's sister.,Mind Games,Barbara had always been competitive with her sister.,She invited Dorothy over her house one day to play a board game.,"Barbara slyly picked a game that involved world history, thinking it would give her the advantage.",But Dorothy ended up beating Barbara at the game.,It wasn't until later that Barbara learned that Dorothy had played the same game multiple times in her life.
c7f64519-b672-4492-93fe-0f4bb3cac97c,Barbara is a teacher.,Dorothy is Barbara's colleague.,A Picnic,Barbara and Dorothy are teachers as well as colleague.,One day they went for a picnic with their children.,"After they visit the place, went for a shopping.",But Dorothy can't buy anything because she lost her money wallet while travelling.,That time Barbara gave much money for shopping her and she was very happy.
d54eab70-cb9d-44fc-8326-c51903157148,Barbara is a teacher.,Dorothy is Barbara's colleague.,It takes a Vet,"Barbara was struggling with her students, as they were behaving badly.",Dorothy noticed her mood and talked to her about her problems.,"Dorothy was a veteran teacher, and decided to help Barbara.",She took over Barbara's students for a whole week and got them in line.,Her discipline made all the difference in her students and Barbara was able to handle them.
aaab2fcd-dfe2-42a5-9498-bf0a72942b92,Barbara is a teacher.,Dorothy is Barbara's colleague.,Teacher Knows Best,Barbara had just started her first job as a teacher.,She was completely inexperienced and was having difficulties controlling her students.,Dorothy was a seasoned teacher with 30 years under her belt.,Dorothy was known for running a well-managed and happy class.,Barbara asked Dorothy for advice on how to run her classroom.
f56f904a-a91d-4cba-8b34-e6a91aa8bc96,Barbara is a teacher.,Dorothy is Barbara's rival.,Teacher of the Year,Barbara and Dorothy both taught at the same school.,"Every year, Dorothy would win the school's best teacher award.",Barbara vowed to win the award this year.,She engaged with her students more and attended more meetings.,Barbara finally won the award!
033ef8ee-b82f-456d-8e54-9680b15eb8ea,Barbara is a teacher.,Dorothy is Barbara's rival.,Ingrained rivalry,Barbara loved working with children.,She turned her passion into profession and became a teacher.,She was loved by all her students.,This did not go well with her colleague Dorothy who was jealous of her.,Dorrothy considered Barbara her rival and subconsciously competed with her.
4ce78c74-9c21-49ca-85b4-64da8cc17fe9,Barbara is a teacher.,Dorothy is Barbara's rival.,Teacher Rivalry,Barbara was up for the school's Teacher Of The Year award.,"Another teacher, Dorothy, was also another nominee for the award.","Being very competitive, Barbara knew that she had to win the award over her rival.",Barbara ended up baking cookies for all the judges thinking it would sway them.,Dorothy ended up winning the award though since she baked brownies.
7acf1906-743b-44a2-803c-b9659f9892a9,Barbara is a teacher.,Linda is a close friend of Barbara.,Time for a Change,Barbara had been teaching English at the same elementary school for a number of years.,She had recently become unhappy at her job.,"She needed a change, but was scared to make a big move since the job provided a lot of security.",Linda and Barbara had been friends since they were young.,"Seeing how unhappy Barbara was, Linda encouraged her to find a new job."
b52038e9-5a9e-4f5a-ab70-5770640059c4,Barbara is a teacher.,Linda is a close friend of Barbara.,revenge is good,Linda and Barbara are close friends from childhood.,Barbara was stabbed and left to death by one her student in the class.,No one knows why she was stabbed and where the student went.,Linda took this on her own and chased him and hunt him down.,"Later they found that the student was drug addict and he sold drugs to the students, barbara warned him for his action and that the reason for her death."
a52e8543-f0e9-4dd9-8603-41813b5ea5f8,Barbara is a teacher.,Linda is a close friend of Barbara.,Bermuda girl's trip,"Barbara was tired of teaching, and needed a break.",Linda suggested that they take a vacation.,"They got on a plane, and flew to BERMUDA.",They had so much fun drinking at the beach and relaxing.,Barbara went to to her students with a fresh attitude.
9fd645a4-3d1e-43bf-a147-8d723b9578f1,Barbara is a teacher.,Linda is a close friend of Barbara.,A true friend indeed,Barabara worked as a teacher in a school.,She liked a colleague there.,She was confused about what to do in this situation.,She confided about the same in her close friend Linda.,Linda advised her to follow her heart.
eaf23139-07f6-450a-bf1f-6524836c13e1,Barbara is a teacher.,Linda is a student of Barbara.,barbara and linda a happy student,Barbara is a teacher in the local county school.,Linda is one of the bright student in barbaras class.,For the past few months linda was not very attentive in the class.,Barbara asked what happened to her and she said there was some problem going on between her mother and father.,Barbara approached linda's parents and told them the situation and advised them to spend some time to take care of her.
7574f077-98c4-4f8a-af8f-40a8de762475,Barbara is a teacher.,Linda is a student of Barbara.,Trouble at Home,Barbra was currently teaching a second grade class.,"She loved her job, but found it difficult some days.",Linda was a little girl in her class.,"Linda had been acting out a lot lately, which was out of character for her.","Out of concern, Barbara set up a meeting with Lindas parents to discuss the issue."
2323c9fd-585d-443c-9392-022cfa4fcc59,Barbara is a teacher.,Linda is a student of Barbara.,Teacher student bond,Barbara worked as a teacher in an elementary school.,The students there loved her.,"Linda, a student of hers was facing difficulties in the subject.",She approched Barbara for help.,Barbara helped her in solving the difficulties she was facing.
94649a3a-42ba-4c93-9327-d61a67b0f800,Barbara is a teacher.,Linda is a person that Barbara does not like.,The Bad Janitor,Barbara taught at an elementary school.,"The trash can in her classroom was never changed, nor was the floor swept.","Barbara asked the janitor, Linda, nicely to remember to tidy her room.",Linda continued ignoring it.,Barbara grew to despise Linda.
4498cac1-b8f8-4256-93bd-c5ce486306ae,Barbara is a teacher.,Linda is a person that Barbara does not like.,The Apple doesn't Fall far from the Tree,Barbara was holding parent teacher conferences.,A student named Logan had been causing trouble in her class for quite a while.,His mother Linda came to the meeting.,Linda was a disagreeable woman who blamed Barbara for Logans behavior.,Barbara now understood why Logan acted the way he did.
3f334f6b-13cf-449c-b3d9-4169d746bccb,Barbara is a teacher.,Linda is a person that Barbara does not like.,Relationship dynamics,Barbara worked at the school as a teacher.,She was respected by all her colleagues.,"The only exception was Linda, who also worked at the same school.",Linda was usually spiteful towards her.,"As a result of such behaviour, Barbara did not like Linda."
ccc7fa10-7bf8-48de-b16a-4f0bfb267cae,Barbara is a teacher.,Linda is a person that Barbara does not like.,Barbara and the difficult parent,Barbara is a tenured teacher at a public elementary school in her hometown.,"She is good natured and friendly, generally getting along well with everyone.",Linda is the parent of one of her students and complains constantly about the way Barbara runs her class.,"Linda expects and demands certain favors to be given to her lazy, disrespectful son.",She is a constant thorn in Barbara's side and the teacher looks forward to next month when the school year ends.
50dc64a5-a2fd-4f9a-abc4-36a8e99cf715,Barbara is a teacher.,Max is Barbara's dog.,know your place.,Barbara works as a class teacher in a local school.,She always bring her dog max to school.,one day max got mad on a student who throws cracker on it.,it started barking tried to bite other students too.,From that day onward Barbara stopped bring max to her school.
4a5cd1de-3e84-48ca-bfd6-fd9863593273,Barbara is a teacher.,Max is Barbara's dog.,Puppy Love,Barbara headed to her elementary teaching job with a heavy heart.,"That evening, she would be bringing her old dog Max to the vet to be put to sleep.","Standing in front of the class, Barbara couldn't help thinking about Max.","She felt a tug on her sleeve, and looked up to see a favorite student with hands held behind his back.",Barbara's heart melted as the smiling boy handed her a small stuffed dog.
c238e472-24cf-4a1e-a4f9-5969006b3301,Barbara is a teacher.,Max is Barbara's dog.,Love for animals,Barbara was a school teacher.,"Since the time she was a young girl, she had always loved animals.",She always wanted a dog for a pet.,She finally got Max home from a local shelter.,She loved max from all her heart.
cb9a5d2c-7e11-4cb5-a81b-8f197970b933,Barbara is a teacher.,Max is Barbara's dog.,Dog Therapy,Barbara teaches at an elementary school.,"During exams, some children in her class get very stressed.","So during mid-term and final exams each year, she brings her dog Max to school with her.","Before they start taking the exams, Max walks around the room and the children pet him.",It calms the children and makes it less stressful for them to take their tests.
3992ef20-ce9f-4695-9a39-8315bec797e9,Barbara is a teacher.,Max is a dog owned by a friend of Barbara.,The Dog Ate It,Barbara brought home a pile of homework to grade.,"That night, her friend Paul stopped by with his dog Max.","As the friends chatted in the kitchen, some noise came from the living room.",They rushed in to see Max chewing up papers.,"The next day, Barbara had to tell her students the dog ate their homework."
158584f4-c657-4b02-bd50-385d577bbde6,Barbara is a teacher.,Max is a dog owned by a friend of Barbara.,Barbara is a great help,Barbara worked as a teacher in a school.,"A colleague of hers, Richard was to go out of town for a week.",He was worried about his dog Max who had to remain at home.,Barbara offered to take care of Max in Richard's absence.,Richard was extremely grateful for her help.
a57a5900-6c7b-45ab-bbd6-40c99b9e702a,Barbara is a teacher.,Max is a dog owned by a friend of Barbara.,Old Dog...Same Tricks!,Barbara is a teacher at her old High School.,Another of her High School classmates also teaches there.,Her old classmate has a dog named Max.,Barbara agreed to watch Max while her old classmate was out of town.,Max ate Barbara's favorite shoes!
ec0a2175-14b7-4cdc-a702-c8123ee5f6c8,Barbara is a teacher.,Max is a dog owned by a friend of Barbara.,Barbara's Gift,Barbara has always been too busy for anything in her life other than a teacher.,"Because of this, she has always been lonely.","One day, during her birthday party, Barbara's friend had brought over her dog.","Looking at the dog, she finally realized what she thought she needed in her life.",Barbara's friend was happy to see a smile on her friend's face after a long time.
7575af06-24d7-45cd-abd0-038aadd8d680,Barbara is a teacher.,Max is a respected person of Barbara.,Barbara and her mentor.,"Barbara is a kindergarten teacher in a small, private school.",This is her first year teaching and she felt very insecure and inexperienced compared to all the other teachers.,Max is a teacher with years of experience and who has kindly offered his help and advice whenever Barbara needs it.,He has made her first semester very rewarding with his support and encouragement.,She is very thankful for his willingness to be her mentor.
013c3c4d-5106-4993-8327-b5ba9c9d3792,Barbara is a teacher.,Max is a respected person of Barbara.,Copycat,Barbara was a new teacher.,She had just started her first job at an elementary school.,Max was the man who inspired her to educate the young.,She was determined to be the best teacher she could be.,She planned on modeling her teaching style after Max.
b3109e29-42e6-4c16-afba-4a0d4d45f7b6,Barbara is a teacher.,Max is a respected person of Barbara.,Respect is earned,Barbara trained as a teacher and got a job at the school.,Max was a senior who eventually became her mentor.,He was the guide for her.,He was also the one who constantly motivated her.,She respected max from all her heart.
e834c2c1-ca3d-4ac2-afdd-444a31ec12e6,Margaret is an athelete.,Robert is Margaret's brother.,Something For Luck,Robert was sad to find out he would have to miss his sister Margaret's big game.,He thought about all the times they played soccer as kids.,"Robert got out a box of mementos of their childhood soccer games, when he was the star.","He found a medal, given when he was named MVP during his first soccer season.","Robert tucked the medal into an envelope addressed to Margaret, and inserted a card that said ""Good Luck!"""
cb06ae16-55ec-4989-b8d2-e536eeb9761c,Margaret is an athelete.,Robert is Margaret's brother.,A Supportive Brother,Margaret's parents expected her to play with dolls and her brother Robert to play baseball.,"However, Robert was terrible at sports and Margaret was the family athlete.","She didn't play softball, she played baseball and was even on the boy's high school team.",Robert was never jealous of her.,He was a supportive brother who relished her accomplishments.
999ac31e-435c-42b9-9094-4cb5218bef41,Margaret is an athelete.,Robert is Margaret's brother.,Brother to the rescue,Margaret is an athlete.,She has competitions coming soon.,She started getting stressed.,Her brother Robert came to her rescue.,He calmed her down and instilled confidence in her.
0607378f-f1cb-4a25-9726-91f9dda3a4c4,Margaret is an athelete.,Robert is Margaret's brother.,Running into success,Margaret was trying to get Robert ready to become a track runner.,"So, she chased him around the house constantly.","He started to run so fast, he outran Margaret!",He soon made the school track team as the fastest runner.,Margaret was proud of creating a fast runner:
fbcc1f1b-5947-46d7-ac46-fc3df404e553,Margaret is an athelete.,Robert is a staff of Margaret's team.,Inappropriate Behavior,Margaret plays striker on her college NCAA soccer team.,"The assistant coach, Robert, always seemed to be staring at Margaret, which made her uncomfortable.","One day as she was leaving the locker room, he stopped her and asked her out on a date.",That was against the rules and she reported him to the coach.,He was fired immediately.
38db114a-6e0a-4dde-835e-dfd5ef18bf08,Margaret is an athelete.,Robert is a staff of Margaret's team.,Falling off track,Margaret felt something wrong while she was running on the track.,"She soon fell to the ground, writhing in pain.",Robert was the only other person out there with her.,"He ran over and massaged her leg, as she had a charlie horse.","He was so good and effective, she made him her full time trainer."
c5837d15-8d21-42cf-888a-870b0cae432a,Margaret is an athelete.,Robert is a staff of Margaret's team.,The Slide,Margaret was playing softball.,She slid into home plate and scraped up her leg.,Margaret's leg began to bleed.,"Her coach, Robert, wrapped up her leg.",Margaret was good to go!
18bcd094-1667-41be-b536-b6c82eec3f7a,Margaret is an athelete.,Robert is a staff of Margaret's team.,The team,Margaret is an athlete.,She has a great team which takes care of her fitness and nutrition.,Robert is a staff on her team.,He takes pains for her training.,She considers herself lucky to have such dedicated staff.
9f563361-8f4a-4663-81b3-ce8079d00451,Margaret is an athelete.,Robert is Margaret's rival.,Athletics rivalry,Margaret worked hard to achieve her goal to become a great athlete.,Most people of proud of her and her accomplishments.,There were also some who were jealous of her success.,Robert was one such person.,He soon developed unhealthy rivalry with her.
6e909df6-2e6b-4263-8492-27b19d97c151,Margaret is an athelete.,Robert is Margaret's rival.,Hot Pants,"Margaret watched as Robert posed in front of a mirror, flexing his muscles.","Both Margaret and Robert competed on their school's track teams, but the boys' team got all the attention.","When Robert left the locker area, Margaret noticed he'd left his track shorts.","Margaret nabbed the shorts and took them home, sprinkling them with cayenne pepper.","The next day, she returned the shorts to Robert with a sly grin."
1d3ed990-2276-479b-bc6a-cfe06e9f94b0,Margaret is an athelete.,Robert is Margaret's rival.,Determination and Training,Margaret and Robert were ready to race.,"Robert had won most of the time, but Margaret had been training.","Robert looked over at Margaret smugly, but she ignored him.",She got down on the blocks.,"When it was done, Margaret had left Robert in the dust!"
d7066f9e-82e5-41dc-9eea-7856cbd6490d,Margaret is an athelete.,David is a close friend of Margaret.,Off beat friendship,Margaret and David were both athletes.,They had started off as competitors.,Over time they gradually became good friends.,Now they frequently train together.,Both of them cherish friendship with each other.
1c982dc6-2a10-4bb2-929d-cf24d6f21867,Margaret is an athelete.,David is a close friend of Margaret.,Margaret's Track Meet,Margaret had been practicing for weeks.,It was time for the big track meet.,She scanned the crowd for her friend David.,She felt confident knowing that David was there cheering her on.,Margaret got on the blocks ready to run.
19b95171-09a9-4911-bb45-4fc10307c29e,Margaret is an athelete.,David is a close friend of Margaret.,Friendship Championship,Margaret was training for the baseball team.,"But one day, she got into an accident was too hurt to train.",Margaret was depressed because she knew she wasn't going to be able to train.,Her close friend David decided to cheer her up by asking her to be his coach as he trained for the baseball team as well.,"And in return, he would help her when she got better."
d041f33f-55ca-45d7-bcc6-84ae228aab0c,Margaret is an athelete.,David is a close friend of Margaret.,Cheering Up a Teammate,"Margaret is a college athelete, specializing in track and field.",Her friend David also does track and field events on the college men's team.,They have been teammates for the last three years and have become very close.,One day David didn't show up for practice and Margaret was very worried.,"She found out he had broken his arm, so she went to visit him to cheer him up."
